#TYPE Selected.System.ServiceProcess.ServiceController
"DisplayName","Name"
"Hyper-V Volume Shadow Copy Requestor","vmicvss"
"Cisco AnyConnect Secure Mobility Agent","vpnagent"
"Volume Shadow Copy","VSS"
"Windows Time","W32Time"
"W3C Logging Service","w3logsvc"
"World Wide Web Publishing Service","W3SVC"
"WalletService","WalletService"
"WarpJITSvc","WarpJITSvc"
"Windows Process Activation Service","WAS"
"Block Level Backup Engine Service","wbengine"
"Windows Biometric Service","WbioSrvc"
"Windows Connection Manager","Wcmsvc"
"Windows Connect Now - Config Registrar","wcncsvc"
"Diagnostic Service Host","WdiServiceHost"
"Diagnostic System Host","WdiSystemHost"
"Windows Defender Antivirus Network Inspection Service","WdNisSvc"
"WebClient","WebClient"
"Windows Event Collector","Wecsvc"
"Windows Encryption Provider Host Service","WEPHOSTSVC"
"Problem Reports and Solutions Control Panel Support","wercplsupport"
"Windows Error Reporting Service","WerSvc"
"Wi-Fi Direct Services Connection Manager Service","WFDSConMgrSvc"
"Still Image Acquisition Events","WiaRpc"
"Windows Defender Antivirus Service","WinDefend"
"WinHTTP Web Proxy Auto-Discovery Service","WinHttpAutoProxySvc"
"Windows Management Instrumentation","Winmgmt"
"Windows Remote Management (WS-Management)","WinRM"
"Windows Insider Service","wisvc"
"WLAN AutoConfig","WlanSvc"
"Microsoft Account Sign-in Assistant","wlidsvc"
"Local Profile Assistant Service","wlpasvc"
"WMI Performance Adapter","wmiApSrv"
"Windows Media Player Network Sharing Service","WMPNetworkSvc"
"Work Folders","workfolderssvc"
"Portable Device Enumerator Service","WPDBusEnum"
"Windows Push Notifications System Service","WpnService"
"Windows Push Notifications User Service_17d7b5","WpnUserService_17d7b5"
"Security Center","wscsvc"
"Windows Search","WSearch"
"Windows Update","wuauserv"
"WWAN AutoConfig","WwanSvc"
"Xbox Game Monitoring","xbgm"
"Xbox Live Auth Manager","XblAuthManager"
"Xbox Live Game Save","XblGameSave"
"Xbox Accessory Management Service","XboxGipSvc"
"Xbox Live Networking Service","XboxNetApiSvc"
